Business Name,Location,Category,Annual Trade Volume (M USD),Main Trading Partner,Trade Type,Subcategory,Business Size,Established Year,Contact Info,Phone,Preferred Trade Route,Trade Growth Rate (%),Currency,Trade Frequency (per year),Recency of Last Trade (months),Trade Success Rate (%),Partner Rating,Price Fluctuation (%),Region,IndustrySector
Garments Textiles Egypt,"6th of October, Egypt",Textiles,25.95,United States,Exporter,Garments,Medium,2022,info@garmentstextile.eg,+20252704570,Via Suez Port,12.94,USD,96,2,72.98,3.7,5.45,Greater Cairo,Textiles - Garments
Golden Steel Metals,"Damietta, Egypt",Metals,24.18,Belgium,Both,Steel,Medium,1999,info@goldensteelmeta.eg,+20230508817,Via Damietta Port,-3.59,USD,80,3,70.47,4.0,3.48,Mediterranean Coast,Metals - Steel
Alexandria Silver Metals,"Suez, Egypt",Metals,322.1,United States,Exporter,Silver,Large,2018,info@alexandriasilve.eg,+20111023338,Via Suez Port,14.27,USD,365,2,96.55,4.5,1.2,Suez Canal,Metals - Silver
International Papyrus Handicrafts Egypt,"Tanta, Egypt",Handicrafts,394.01,Tanzania,Importer,Papyrus,Large,2013,info@internationalpa.eg,+20296425659,Via Damietta Port,-3.44,USD,365,5,86.17,4.4,12.43,Nile Delta,Handicrafts - Papyrus
Transportation Tourism Group,"Hurghada, Egypt",Tourism,8.46,Mexico,Exporter,Transportation,Small,1999,info@transportationt.eg,+20244334183,Via Damietta Port,-10.0,USD,41,0,77.97,3.9,7.17,Red Sea,Tourism - Transportation
Dates Agriculture Trading Egypt,"Marsa Matruh, Egypt",Agriculture,9.66,Lebanon,Both,Dates,Small,2017,info@datesagricultur.eg,+20245001100,Via Marsa Matruh Port,2.28,USD,50,2,98.0,4.9,3.62,Mediterranean Coast,Agriculture - Dates
Delta Flowers Agriculture,"Port Said, Egypt",Agriculture,110.94,Ghana,Exporter,Flowers,Medium,2007,info@deltaflowersagr.eg,+20213491414,Via Port Said Port,4.54,USD,351,0,71.93,3.7,3.35,Mediterranean Coast,Agriculture - Flowers
Sohag Souvenirs Tourism,"Sohag, Egypt",Tourism,166.06,Oman,Importer,Souvenirs,Large,1982,info@sohagsouvenirst.eg,+20124527119,Via Suez Port,-10.0,USD,365,4,98.0,4.8,13.84,Upper Egypt,Tourism - Souvenirs
Ancient Appliances Electronics,"El Arish, Egypt",Electronics,40.87,Brazil,Both,Appliances,Medium,2015,info@ancientapplianc.eg,+20284685389,Via Port Said Port,-1.67,USD,136,5,98.0,4.7,9.77,Sinai,Electronics - Appliances
Egyptian Metal Furniture,"Cairo, Egypt",Furniture,4.82,United States,Importer,Metal,Small,1996,info@egyptianmetalfu.eg,+20127692451,Via Port Said Port,-7.81,USD,27,4,71.29,3.9,14.68,Greater Cairo,Furniture - Metal
Delta Medicine Pharmaceuticals,"Kafr El Sheikh, Egypt",Pharmaceuticals,68.43,Qatar,Importer,Medicine,Medium,2006,info@deltamedicineph.eg,+20369388227,Via Suez Port,-9.09,USD,215,4,86.19,4.2,12.49,Nile Delta,Pharmaceuticals - Medicine
International Glass Construction Egypt,"Damanhur, Egypt",Construction,242.87,Kenya,Importer,Glass,Large,2007,info@internationalgl.eg,+20320704985,Via Safaga Port,7.75,USD,365,3,92.77,4.9,8.76,Nile Delta,Construction - Glass
Greater Cairo Steel Metals,"6th of October, Egypt",Metals,16.39,France,Both,Steel,Small,2011,info@greatercairoste.eg,+20296237463,Via Alexandria Port,-2.57,USD,59,5,77.99,4.2,10.92,Greater Cairo,Metals - Steel
Glass Construction of Egypt,"Cairo, Egypt",Construction,26.57,Ghana,Exporter,Glass,Medium,1980,info@glassconstructi.eg,+20257434793,Via Damietta Port,-1.25,USD,93,0,80.59,4.1,2.7,Greater Cairo,Construction - Glass
Craft Tourism Industries,"Port Said, Egypt",Tourism,30.57,Lebanon,Importer,Craft,Medium,2007,info@crafttourismind.eg,+20119442692,Via Port Said Port,-10.0,USD,108,2,78.44,3.5,6.99,Mediterranean Coast,Tourism - Craft
Upper Egypt Flowers Agriculture,"Sohag, Egypt",Agriculture,95.03,South Africa,Importer,Flowers,Medium,1989,info@upperegyptflowe.eg,+20382682761,Via Damietta Port,-1.89,USD,298,4,75.5,3.9,6.91,Upper Egypt,Agriculture - Flowers
Vitamins Pharmaceuticals Exports,"Fayoum, Egypt",Pharmaceuticals,363.94,UAE,Importer,Vitamins,Large,1980,info@vitaminspharmac.eg,+20155706460,Via Safaga Port,-10.0,USD,365,0,80.36,4.6,8.8,Upper Egypt,Pharmaceuticals - Vitamins
Royal Wooden Furniture,"Beni Suef, Egypt",Furniture,5.91,Jordan,Exporter,Wooden,Small,1985,info@royalwoodenfurn.eg,+20234228688,Via Suez Port,-7.47,USD,27,1,74.0,3.5,14.9,Upper Egypt,Furniture - Wooden
Beverages Food Processing Industries,"Port Said, Egypt",Food Processing,15.83,South Korea,Both,Beverages,Small,1995,info@beveragesfoodpr.eg,+20289538278,Via Port Said Port,-10.0,USD,57,4,95.3,4.7,2.28,Mediterranean Coast,Food Processing - Beverages
International Paints Chemicals Egypt,"Beni Suef, Egypt",Chemicals,3.87,Nigeria,Importer,Paints,Small,1980,info@internationalpa.eg,+20395852238,Via Alexandria Port,1.72,USD,26,1,77.83,3.9,8.44,Upper Egypt,Chemicals - Paints
Golden Gold Metals,"Marsa Matruh, Egypt",Metals,35.17,Saudi Arabia,Importer,Gold,Medium,2002,info@goldengoldmetal.eg,+20293189096,Via Port Said Port,-6.5,USD,118,1,98.0,4.8,1.6,Mediterranean Coast,Metals - Gold
Paints Chemicals Exports,"Alexandria, Egypt",Chemicals,16.67,Italy,Importer,Paints,Medium,2012,info@paintschemicals.eg,+20193301613,Via Damietta Port,3.59,USD,52,0,85.99,4.5,9.15,Mediterranean Coast,Chemicals - Paints
El Transportation Tourism,"Fayoum, Egypt",Tourism,80.49,Saudi Arabia,Importer,Transportation,Large,2006,info@eltransportatio.eg,+20325455166,Via Port Said Port,-3.01,USD,253,2,80.1,4.6,2.93,Upper Egypt,Tourism - Transportation
Alexandria Gold Metals,"Kafr El Sheikh, Egypt",Metals,107.4,Tanzania,Importer,Gold,Large,1993,info@alexandriagoldm.eg,+20298479886,Via Damietta Port,-10.0,USD,334,5,98.0,4.8,1.42,Nile Delta,Metals - Gold
Golden Beverages Food Processing,"Port Tawfik, Egypt",Food Processing,242.46,Kenya,Exporter,Beverages,Large,1999,info@goldenbeverages.eg,+20337263155,Via Port Tawfik Port,-0.79,USD,365,3,84.4,4.6,3.82,Suez Canal,Food Processing - Beverages
Royal Canned Foods Food Processing,"Giza, Egypt",Food Processing,64.11,Oman,Exporter,Canned Foods,Medium,2001,info@royalcannedfood.eg,+20316197531,Via Safaga Port,-10.0,USD,204,0,73.45,4.0,7.92,Greater Cairo,Food Processing - Canned Foods
Brassware Handicrafts Exports,"Qena, Egypt",Handicrafts,4.71,France,Exporter,Brassware,Small,2004,info@brasswarehandic.eg,+20183679968,Via Damietta Port,6.82,USD,31,0,69.79,2.8,10.41,Upper Egypt,Handicrafts - Brassware
Premium Rugs Textiles,"Port Said, Egypt",Textiles,19.45,Netherlands,Both,Rugs,Small,2008,info@premiumrugstext.eg,+20366779266,Via Port Said Port,7.25,USD,62,6,86.43,4.2,6.05,Mediterranean Coast,Textiles - Rugs
Components Electronics Exports,"Hurghada, Egypt",Electronics,59.22,Kuwait,Both,Components,Medium,2004,info@componentselect.eg,+20179625331,Via Safaga Port,12.74,USD,198,3,75.07,3.7,2.36,Red Sea,Electronics - Components
Nile Beverages Food Processing,"6th of October, Egypt",Food Processing,94.95,Qatar,Exporter,Beverages,Medium,2002,info@nilebeveragesfo.eg,+20111819770,Via Alexandria Port,-10.0,USD,292,3,72.61,4.0,8.52,Greater Cairo,Food Processing - Beverages
Modern Office Furniture,"Hurghada, Egypt",Furniture,13.46,Mexico,Exporter,Office,Small,1984,info@modernofficefur.eg,+20386945924,Via Suez Port,-10.0,USD,49,4,77.93,3.6,4.41,Red Sea,Furniture - Office
Sinai Garments Textiles,"Sharm El Sheikh, Egypt",Textiles,58.44,Qatar,Importer,Garments,Medium,1982,info@sinaigarmentste.eg,+20342071322,Via Damietta Port,-10.0,USD,184,4,75.44,4.0,14.73,Sinai,Textiles - Garments
Suez Medicine Pharmaceuticals,"Suez, Egypt",Pharmaceuticals,15.39,Lebanon,Importer,Medicine,Small,2005,info@suezmedicinepha.eg,+20351977420,Via Suez Port,-9.0,USD,59,0,61.95,3.2,3.87,Suez Canal,Pharmaceuticals - Medicine
Nile Medical Supplies Pharmaceuticals,"Damanhur, Egypt",Pharmaceuticals,43.85,Tanzania,Both,Medical Supplies,Medium,1983,info@nilemedicalsupp.eg,+20347618483,Via Safaga Port,-10.0,USD,139,3,63.87,2.9,14.36,Nile Delta,Pharmaceuticals - Medical Supplies
Ancient Components Electronics,"Hurghada, Egypt",Electronics,7.77,Chile,Importer,Components,Small,1983,info@ancientcomponen.eg,+20189409752,Via Damietta Port,-10.0,USD,42,1,69.74,3.0,13.08,Red Sea,Electronics - Components
Spices Food Processing Trading Egypt,"Suez, Egypt",Food Processing,14.2,Lebanon,Importer,Spices,Medium,2005,info@spicesfoodproce.eg,+20349864356,Via Suez Port,5.97,USD,45,1,74.18,4.0,2.15,Suez Canal,Food Processing - Spices
International Dairy Food Processing Egypt,"Sharm El Sheikh, Egypt",Food Processing,5.15,Greece,Importer,Dairy,Small,2015,info@internationalda.eg,+20126702652,Via Damietta Port,-10.0,USD,29,0,93.62,4.8,9.38,Sinai,Food Processing - Dairy
Ancient Fertilizers Chemicals,"Port Tawfik, Egypt",Chemicals,45.37,Indonesia,Exporter,Fertilizers,Medium,1991,info@ancientfertiliz.eg,+20323857518,Via Port Tawfik Port,-10.0,USD,142,1,80.59,4.0,13.7,Suez Canal,Chemicals - Fertilizers
Delta Confectionery Food Processing,"Port Tawfik, Egypt",Food Processing,9.67,Japan,Importer,Confectionery,Small,2011,info@deltaconfection.eg,+20279977133,Via Port Tawfik Port,-3.76,USD,39,2,87.77,4.7,13.1,Suez Canal,Food Processing - Confectionery
Ancient Fruits Agriculture,"Ismailia, Egypt",Agriculture,657.23,Belgium,Both,Fruits,Large,2020,info@ancientfruitsag.eg,+20312512236,Via Ismailia Port,10.69,USD,365,0,92.84,4.5,13.39,Suez Canal,Agriculture - Fruits
Grains Agriculture Egypt,"Kafr El Sheikh, Egypt",Agriculture,496.67,South Africa,Importer,Grains,Large,2001,info@grainsagricultu.eg,+20276654409,Via Damietta Port,-6.6,USD,365,2,78.47,3.7,10.55,Nile Delta,Agriculture - Grains
Egypt Resorts Tourism Company,"Safaga, Egypt",Tourism,2.27,Kuwait,Exporter,Resorts,Small,1982,info@egyptresortstou.eg,+20141876725,Via Safaga Port,-5.55,USD,27,2,74.31,4.0,6.38,Red Sea,Tourism - Resorts
Greater Cairo Metal Furniture,"6th of October, Egypt",Furniture,83.77,Netherlands,Both,Metal,Medium,2001,info@greatercairomet.eg,+20319587404,Via Port Said Port,4.91,USD,256,1,79.74,4.1,7.16,Greater Cairo,Furniture - Metal
Egypt Vitamins Pharmaceuticals Company,"El Arish, Egypt",Pharmaceuticals,9.31,Canada,Importer,Vitamins,Small,2016,info@egyptvitaminsph.eg,+20267996234,Via Safaga Port,5.46,USD,36,2,79.88,3.5,2.29,Sinai,Pharmaceuticals - Vitamins
Cairo Office Furniture,"Damietta, Egypt",Furniture,91.91,Lebanon,Importer,Office,Medium,1988,info@cairoofficefurn.eg,+20219834449,Via Damietta Port,13.12,USD,292,4,96.02,4.6,8.82,Mediterranean Coast,Furniture - Office
